Country Name,Country Code,wb.urban_perc2019
Sub-Saharan Africa (excluding high income),SSA,40.71126911
South Sudan,SSD,19.899
Sub-Saharan Africa,SSF,40.71277872
Small states,SST,59.15908639
Sao Tome and Principe,STP,73.598
Suriname,SUR,66.095
Slovak Republic,SVK,53.729
Slovenia,SVN,54.822
Sweden,SWE,87.708
Eswatini,SWZ,23.981
Sint Maarten (Dutch part),SXM,100
Seychelles,SYC,57.119
Syrian Arab Republic,SYR,54.821
Turks and Caicos Islands,TCA,93.36
Chad,TCD,23.279
East Asia & Pacific (IDA & IBRD countries),TEA,56.50060225
Europe & Central Asia (IDA & IBRD countries),TEC,66.50093744
Togo,TGO,42.248
Thailand,THA,50.692
Tajikistan,TJK,27.309
Turkmenistan,TKM,52.048
Latin America & the Caribbean (IDA & IBRD countries),TLA,80.8943497
Timor-Leste,TLS,30.947
Middle East & North Africa (IDA & IBRD countries),TMN,61.72639047
Tonga,TON,23.107
South Asia (IDA & IBRD),TSA,34.43189736
Sub-Saharan Africa (IDA & IBRD countries),TSS,40.71277872
Trinidad and Tobago,TTO,53.187
Tunisia,TUN,69.254
Turkey,TUR,75.63
Tuvalu,TUV,63.215
Tanzania,TZA,34.5
Uganda,UGA,24.361
Ukraine,UKR,69.473
Upper middle income,UMC,66.35170688
Uruguay,URY,95.426
United States,USA,82.459
Uzbekistan,UZB,50.433
St. Vincent and the Grenadines,VCT,52.614
"Venezuela, RB",VEN,88.24
British Virgin Islands,VGB,48.116
Virgin Islands (U.S.),VIR,95.832
Vietnam,VNM,36.628
Vanuatu,VUT,25.394
World,WLD,55.71471764
Samoa,WSM,18.056
Kosovo,XKX,
"Yemen, Rep.",YEM,37.273
South Africa,ZAF,66.856
Zambia,ZMB,44.072
Zimbabwe,ZWE,32.21
